Participant	PhaseLabel	Bin	MovieID	InferenceCondition	Count	MeanPupil
1	ObjOut	15	53_C_R_M_P_OS_S_O_S	0	1	0.025935
1	ObjOut	15	55_C_R_M_P_OS_O_S_D	0	1	0.019320
1	ObjOut	15	56_C_R_M_I_OS_O_P_S	0	1	0.063452
1	ObjOut	15	58_C_R_M_P_BP_B_P_D	0	1	0.021806
1	ObjOut	15	59_C_R_M_P_BP_P_B_S	0	1	0.037000
1	ObjOut	15	61_C_R_M_P_PB_B_P_S	0	1	0.015968
1	ObjOut	15	63_C_R_M_P_PB_P_B_D	0	1	0.045387
1	ObjOut	15	64_C_R_M_I_PB_P_O_S	0	1	0.021440
1	ObjOut	15	65_T_R_M_I_SP_S_S_S	1	1	0.108346
1	ObjOut	15	67_T_R_M_P_SP_P_S_S	1	1	0.058533
1	ObjOut	15	68_T_R_M_I_SP_P_P_D	1	1	0.022903
1	ObjOut	15	69_T_R_M_P_PS_S_P_S	1	1	0.017387
1	ObjOut	15	70_T_R_M_I_PS_S_S_D	1	1	0.036645
1	ObjOut	15	72_T_R_M_I_PS_P_P_S	1	1	0.035935
1	ObjOut	15	81_T_R_M_P_OB_B_O_S	1	1	0.043839
1	ObjOut	15	82_T_R_M_I_OB_B_B_D	1	1	0.005097
1	ObjOut	15	83_T_R_M_P_BO_O_B_S	1	1	0.037097
1	ObjOut	15	84_T_R_M_I_BO_O_O_D	1	1	-0.035417
1	ObjOut	15	85_T_R_M_I_OB_O_O_S	1	1	-0.001613
1	ObjOut	15	86_T_R_M_P_OB_O_B_D	1	1	0.037387
1	ObjOut	15	87_T_R_M_I_BO_B_B_S	1	1	0.013290
1	ObjOut	15	88_T_R_M_P_BO_B_O_D	1	1	-0.059258
1	ObjOut	16	49_C_R_M_I_SO_S_B_S	0	1	0.020806
1	ObjOut	16	50_C_R_M_P_SO_S_O_D	0	1	0.007032
1	ObjOut	16	53_C_R_M_P_OS_S_O_S	0	1	0.028935
1	ObjOut	16	55_C_R_M_P_OS_O_S_D	0	1	0.070320
1	ObjOut	16	56_C_R_M_I_OS_O_P_S	0	1	0.047452
1	ObjOut	16	58_C_R_M_P_BP_B_P_D	0	1	0.010806
1	ObjOut	16	59_C_R_M_P_BP_P_B_S	0	1	0.032000
1	ObjOut	16	61_C_R_M_P_PB_B_P_S	0	1	0.011968
1	ObjOut	16	63_C_R_M_P_PB_P_B_D	0	1	0.045387
1	ObjOut	16	64_C_R_M_I_PB_P_O_S	0	1	0.017440
1	ObjOut	16	65_T_R_M_I_SP_S_S_S	1	1	0.108346
1	ObjOut	16	67_T_R_M_P_SP_P_S_S	1	1	0.052533
1	ObjOut	16	68_T_R_M_I_SP_P_P_D	1	1	0.027903
1	ObjOut	16	69_T_R_M_P_PS_S_P_S	1	1	0.010387
1	ObjOut	16	70_T_R_M_I_PS_S_S_D	1	1	0.025645
1	ObjOut	16	72_T_R_M_I_PS_P_P_S	1	1	0.036935
1	ObjOut	16	81_T_R_M_P_OB_B_O_S	1	1	0.030839
1	ObjOut	16	82_T_R_M_I_OB_B_B_D	1	1	0.023097
1	ObjOut	16	83_T_R_M_P_BO_O_B_S	1	1	0.043097
1	ObjOut	16	84_T_R_M_I_BO_O_O_D	1	1	-0.014417
1	ObjOut	16	85_T_R_M_I_OB_O_O_S	1	1	0.031387
1	ObjOut	16	86_T_R_M_P_OB_O_B_D	1	1	0.037387
1	ObjOut	16	87_T_R_M_I_BO_B_B_S	1	1	0.007290
1	ObjOut	16	88_T_R_M_P_BO_B_O_D	1	1	-0.010258
1	ObjOut	17	49_C_R_M_I_SO_S_B_S	0	1	0.011806
1	ObjOut	17	50_C_R_M_P_SO_S_O_D	0	1	-0.000968
